checkout_id,timestamp,amount,payment_method,device_type,session_duration_seconds,inactivity_seconds,retry_count,checkout_step_reached,network_quality,payment_status,failure_reason_code,otp_attempts,upi_collect_expired,dropoff_cause,recovered,time_to_recovery_minutes,minutes_since_dropoff,recovery_probability_ground_truth,was_recovered
CHK_000043,2026-01-17 20:45:00,7044,CARD,MOBILE,482,426,1,OTP,Good,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,252,0.5511,0
CHK_000044,2026-01-19 00:14:00,1831,CARD,MOBILE,428,185,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,188.0,285,0.5848,1
CHK_000045,2026-01-14 18:56:00,3332,UPI,DESKTOP,627,359,1,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,2,0,PAYMENT_FAILURE,0,,111,0.418,0
CHK_000046,2026-01-13 16:31:00,1166,WALLET,MOBILE,272,179,0,OTP,Good,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,0,,317,0.4198,0
CHK_000047,2026-01-28 14:29:00,8376,UPI,DESKTOP,209,452,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,239,0.1255,0
CHK_000048,2026-01-04 01:52:00,10747,CARD,DESKTOP,372,199,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,154,0.2208,0
CHK_000049,2026-01-04 13:26:00,2146,CARD,MOBILE,542,258,0,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,107.0,119,0.7163,1
CHK_000050,2026-01-05 07:49:00,625,UPI,MOBILE,656,164,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,12.0,34,0.639,1
CHK_000051,2026-01-11 22:08:00,7238,WALLET,MOBILE,673,180,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,2901,0.357,0
CHK_000052,2026-01-08 08:29:00,4235,UPI,DESKTOP,316,266,0,OTP,Poor,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,1,8.0,828,0.2103,1
CHK_000053,2026-01-16 12:30:00,617,CARD,MOBILE,623,454,2,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,118,0.5018,0
CHK_000054,2026-01-28 02:51:00,2548,WALLET,MOBILE,269,161,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,14.0,161,0.6228,1
CHK_000055,2026-01-12 13:24:00,2719,UPI,MOBILE,192,187,2,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,38,0.5846,0
CHK_000056,2026-01-22 13:17:00,735,CARD,DESKTOP,453,575,0,PAYMENT,Average,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,0,,229,0.2093,0
CHK_000057,2026-01-17 04:45:00,5320,CARD,DESKTOP,344,24,0,OTP,Good,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,296,0.5854,0
CHK_000058,2026-01-06 10:04:00,6484,WALLET,DESKTOP,142,82,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,3411,0.312,0
CHK_000059,2026-01-19 21:22:00,1702,UPI,DESKTOP,733,467,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,37.0,157,0.6708,1
CHK_000060,2026-01-27 11:41:00,3145,WALLET,MOBILE,641,716,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,324,0.163,0
CHK_000061,2026-01-15 07:29:00,594,WALLET,DESKTOP,471,301,0,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,200,0.3264,0
CHK_000062,2026-01-08 06:17:00,9783,UPI,DESKTOP,509,190,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,92,0.3979,0
CHK_000063,2026-01-15 06:10:00,13725,CARD,DESKTOP,160,426,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1385,0.0411,0
CHK_000064,2026-01-02 21:08:00,7612,CARD,MOBILE,488,156,0,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,90,0.7419,0
CHK_000065,2026-01-06 22:57:00,9166,WALLET,MOBILE,597,366,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,67.0,180,0.5961,1
CHK_000066,2026-01-04 07:17:00,10895,CARD,DESKTOP,588,68,0,PAYMENT,Good,FAILED,GATEWAY_ERROR,2,0,PAYMENT_FAILURE,0,,4049,0.2369,0
CHK_000067,2026-01-02 05:19:00,11181,UPI,MOBILE,514,230,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1403,0.1378,0
CHK_000068,2026-01-19 13:37:00,6297,WALLET,DESKTOP,383,432,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,415,0.3468,0
CHK_000069,2026-01-14 18:46:00,13271,UPI,MOBILE,612,462,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,1316.0,1367,0.1772,1
CHK_000070,2026-01-14 03:22:00,5047,WALLET,MOBILE,619,364,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,22.0,36,0.6625,1
CHK_000071,2026-01-07 01:05:00,8852,CARD,DESKTOP,822,138,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,213.0,355,0.2594,1
CHK_000072,2026-01-20 19:29:00,3073,UPI,DESKTOP,700,59,1,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,113.0,154,0.5394,1
CHK_000073,2026-01-07 05:56:00,7481,CARD,DESKTOP,325,147,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,57.0,76,0.6151,1
CHK_000074,2026-01-07 00:06:00,10400,CARD,DESKTOP,520,429,0,PAYMENT,Poor,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,181,0.3597,0
CHK_000075,2026-01-10 02:01:00,10340,CARD,DESKTOP,595,132,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1846,0.0928,0
CHK_000076,2026-01-02 05:22:00,7601,UPI,MOBILE,626,186,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,39.0,42,0.694,1
CHK_000077,2026-01-20 13:05:00,6203,WALLET,MOBILE,471,373,0,CART,Poor,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,372,0.2113,0
CHK_000078,2026-01-08 21:04:00,6104,UPI,DESKTOP,553,483,2,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,3002,0.3624,0
CHK_000079,2026-01-27 03:21:00,5306,CARD,MOBILE,520,285,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,64.0,103,0.5019,1
CHK_000080,2026-01-10 07:29:00,3483,UPI,DESKTOP,362,490,0,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,210,0.4308,0
CHK_000081,2026-01-10 12:57:00,3741,WALLET,DESKTOP,665,613,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,837,0.3295,0
CHK_000082,2026-01-13 14:35:00,4861,WALLET,MOBILE,538,359,1,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,297.0,324,0.4689,1
CHK_000083,2026-01-29 04:40:00,8673,CARD,MOBILE,518,11,1,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,1451,0.4981,0
CHK_000084,2026-01-12 01:34:00,9576,UPI,DESKTOP,362,385,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,219.0,261,0.4011,1
CHK_000085,2026-01-08 21:22:00,2413,WALLET,DESKTOP,692,689,2,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,689,0.2851,0
CHK_000086,2026-01-23 10:04:00,3218,CARD,DESKTOP,289,59,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,1,94.0,251,0.3524,1
CHK_000087,2026-01-30 01:53:00,8728,UPI,DESKTOP,435,195,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,2787,0.3465,0
CHK_000088,2026-01-24 16:00:00,4811,UPI,MOBILE,266,355,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,1,159.0,170,0.5374,1
CHK_000089,2026-01-02 17:09:00,6650,CARD,MOBILE,252,137,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,949,0.3755,0
CHK_000090,2026-01-07 20:42:00,4064,WALLET,DESKTOP,659,363,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,319,0.4001,0
CHK_000091,2026-01-25 09:50:00,10776,UPI,DESKTOP,397,215,0,PAYMENT,Good,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,193,0.2483,0
CHK_000092,2026-01-15 21:07:00,12699,WALLET,DESKTOP,306,153,0,CART,Good,ABANDONED,NONE,1,0,PRICE_HESITATION,1,213.0,226,0.1082,1
CHK_000093,2026-01-17 10:10:00,2038,CARD,DESKTOP,238,94,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,88.0,337,0.2386,1
CHK_000094,2026-01-24 22:10:00,7626,UPI,MOBILE,177,34,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,208,0.2049,0
CHK_000095,2026-01-15 23:23:00,1484,WALLET,MOBILE,428,27,2,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,1,13.0,316,0.5928,1
CHK_000096,2026-01-27 18:45:00,7599,CARD,DESKTOP,620,316,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,95,0.53,0
CHK_000097,2026-01-05 06:34:00,10920,UPI,DESKTOP,401,233,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,1,6.0,86,0.2578,1
CHK_000098,2026-01-05 10:08:00,14236,CARD,DESKTOP,888,122,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,127.0,305,0.1371,1
CHK_000099,2026-01-02 08:05:00,8917,CARD,DESKTOP,372,60,1,CART,Average,ABANDONED,NONE,1,0,PRICE_HESITATION,0,,251,0.2723,0
CHK_000100,2026-01-09 02:13:00,521,WALLET,DESKTOP,529,402,1,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,25,0.5359,0
CHK_000101,2026-01-19 13:45:00,4138,WALLET,DESKTOP,535,192,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,39.0,211,0.5808,1
CHK_000102,2026-01-28 02:04:00,6578,CARD,MOBILE,326,372,2,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,1,24.0,220,0.5024,1
CHK_000103,2026-01-24 10:03:00,2212,WALLET,MOBILE,539,449,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,103.0,131,0.4595,1
CHK_000104,2026-01-14 20:55:00,7395,CARD,MOBILE,597,798,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,111,0.3076,0
CHK_000105,2026-01-25 08:06:00,5155,UPI,MOBILE,429,364,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,1,634.0,661,0.3147,1
CHK_000106,2026-01-12 13:33:00,6224,CARD,DESKTOP,480,456,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,169.0,175,0.3648,1
CHK_000107,2026-01-19 16:48:00,11847,CARD,DESKTOP,855,226,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,20,0.313,0
CHK_000108,2026-01-08 10:44:00,7178,WALLET,DESKTOP,460,295,2,CART,Poor,ABANDONED,NONE,2,0,PRICE_HESITATION,0,,185,0.3204,0
CHK_000109,2026-01-05 14:38:00,3749,UPI,DESKTOP,607,313,0,OTP,Average,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,0,,8,0.5875,0
CHK_000110,2026-01-27 09:26:00,11166,UPI,DESKTOP,533,133,0,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,0,,1161,0.2983,0
CHK_000111,2026-01-10 10:38:00,3624,UPI,MOBILE,423,268,2,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,945,0.3948,0
CHK_000112,2026-01-25 23:01:00,2167,UPI,MOBILE,138,473,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,1,0,PAYMENT_FAILURE,1,69.0,89,0.7098,1
CHK_000113,2026-01-20 06:03:00,5306,UPI,MOBILE,262,424,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,355,0.209,0
CHK_000114,2026-01-09 08:40:00,6728,UPI,DESKTOP,507,323,2,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,304.0,304,0.599,1
CHK_000115,2026-01-06 17:14:00,5945,WALLET,MOBILE,617,563,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,324,0.2762,0
CHK_000116,2026-01-05 04:12:00,7651,CARD,DESKTOP,492,26,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,11.0,77,0.6211,1
CHK_000117,2026-01-21 15:34:00,5654,WALLET,DESKTOP,611,459,2,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,47,0.5324,0
CHK_000118,2026-01-17 03:33:00,3597,UPI,DESKTOP,640,41,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,997.0,1217,0.5709,1
CHK_000119,2026-01-30 11:02:00,10276,UPI,MOBILE,602,127,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,10.0,11,0.7489,1
CHK_000120,2026-01-15 20:40:00,1843,UPI,MOBILE,382,104,1,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,222.0,302,0.5326,1
CHK_000121,2026-01-24 12:53:00,9882,UPI,MOBILE,155,251,1,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,31.0,269,0.4848,1
CHK_000122,2026-01-03 22:55:00,13015,CARD,DESKTOP,529,319,0,CART,Poor,ABANDONED,NONE,0,0,PRICE_HESITATION,1,34.0,209,0.1107,1
CHK_000123,2026-01-23 05:27:00,10560,CARD,MOBILE,596,306,2,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,9.0,136,0.5893,1
CHK_000124,2026-01-29 16:43:00,2285,UPI,DESKTOP,448,485,1,CART,Average,ABANDONED,NONE,1,0,PRICE_HESITATION,0,,142,0.4019,0
CHK_000125,2026-01-05 00:22:00,10293,WALLET,DESKTOP,480,360,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,1751,0.049,0
CHK_000126,2026-01-04 18:35:00,10435,CARD,DESKTOP,131,61,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1391,0.0294,0
CHK_000127,2026-01-06 17:44:00,8342,CARD,DESKTOP,757,366,1,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,129.0,253,0.4093,1
CHK_000128,2026-01-08 17:38:00,2460,CARD,DESKTOP,204,160,0,OTP,Good,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,1,132.0,3420,0.284,1
CHK_000129,2026-01-09 05:51:00,1345,WALLET,MOBILE,651,646,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,1084.0,1138,0.2784,1
CHK_000130,2026-01-21 22:38:00,7078,WALLET,DESKTOP,382,348,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,21.0,260,0.2004,1
CHK_000131,2026-01-30 22:28:00,1903,CARD,MOBILE,400,327,1,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,18.0,256,0.5699,1
CHK_000132,2026-01-22 15:34:00,8140,CARD,MOBILE,897,405,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,65,0.2966,0
CHK_000133,2026-01-18 05:37:00,9380,WALLET,MOBILE,637,484,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,225.0,282,0.2546,1
CHK_000134,2026-01-19 01:55:00,5493,UPI,MOBILE,140,132,2,CART,Average,ABANDONED,NONE,1,0,PRICE_HESITATION,0,,29,0.3852,0
CHK_000135,2026-01-18 05:37:00,8623,CARD,DESKTOP,351,296,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,91.0,1216,0.5794,1
CHK_000136,2026-01-26 03:44:00,13698,CARD,DESKTOP,707,167,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,859,0.2452,0
CHK_000137,2026-01-20 12:58:00,9464,UPI,MOBILE,469,371,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,329,0.3749,0
CHK_000138,2026-01-23 07:25:00,4785,WALLET,DESKTOP,489,348,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,5.0,11,0.6,1
CHK_000139,2026-01-17 15:13:00,6284,CARD,DESKTOP,667,334,1,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,784.0,2126,0.3358,1
CHK_000140,2026-01-25 06:44:00,9165,CARD,DESKTOP,601,170,1,CART,Poor,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,2210,0.2627,0
CHK_000141,2026-01-18 06:18:00,10178,UPI,DESKTOP,526,107,0,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,1,9.0,23,0.4551,1
CHK_000142,2026-01-21 16:46:00,7853,CARD,MOBILE,248,460,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,662,0.1876,0
CHK_000143,2026-01-18 16:58:00,2659,CARD,DESKTOP,132,412,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,1,12.0,20,0.6423,1
CHK_000144,2026-01-17 12:02:00,2697,CARD,MOBILE,431,39,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,359,0.3413,0
CHK_000145,2026-01-19 12:21:00,6391,UPI,DESKTOP,307,76,0,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,186,0.3572,0
CHK_000146,2026-01-01 02:41:00,1093,CARD,DESKTOP,278,207,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,872.0,1358,0.6777,1
CHK_000147,2026-01-08 02:58:00,5969,WALLET,MOBILE,302,312,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,147.0,161,0.4872,1
CHK_000148,2026-01-24 23:01:00,2625,UPI,MOBILE,303,94,1,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,3235,0.4385,0
