checkout_id,timestamp,amount,payment_method,device_type,session_duration_seconds,inactivity_seconds,retry_count,checkout_step_reached,network_quality,payment_status,failure_reason_code,otp_attempts,upi_collect_expired,dropoff_cause,recovered,time_to_recovery_minutes,minutes_since_dropoff,recovery_probability_ground_truth,was_recovered,predicted_cause,prediction_confidence,chosen_action,ERV_score,prediction_confidence,explanation,recoverability_score
CHK_000042,2026-01-30 17:03:00,3919.0,WALLET,MOBILE,214,91,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,596,0.2466,0,PAYMENT_FAILURE,0.999668,PAYMENT_METHOD_SWITCH,1781.35,0.9997,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.399 | time=596min | amount=₹3919 | ERV=₹1781,0.3987206917674337
CHK_000043,2026-01-17 20:45:00,7044.0,CARD,MOBILE,482,426,1,OTP,Good,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,252,0.5511,0,OTP_FRICTION,0.99971753,RETRY_LINK,4296.4,0.9997,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.541 | time=252min | amount=₹7044 | ERV=₹4296,0.5412050679047057
CHK_000044,2026-01-19 00:14:00,1831.0,CARD,MOBILE,428,185,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,188.0,285,0.5848,1,OTP_FRICTION,0.9997632,STOP,0.0,0.9998,Stopped by rule: MAX_TOUCHES,0.53412518568377
CHK_000045,2026-01-14 18:56:00,3332.0,UPI,DESKTOP,627,359,1,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,2,0,PAYMENT_FAILURE,0,,111,0.418,0,PAYMENT_FAILURE,0.99963593,PAYMENT_METHOD_SWITCH,1761.95,0.9996,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.464 | time=111min | amount=₹3332 | ERV=₹1762,0.4638573722460909
CHK_000046,2026-01-13 16:31:00,1166.0,WALLET,MOBILE,272,179,0,OTP,Good,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,0,,317,0.4198,0,OTP_FRICTION,0.999754,STOP,0.0,0.9998,Stopped by rule: COOLDOWN,0.5275293301472613
CHK_000047,2026-01-28 14:29:00,8376.0,UPI,DESKTOP,209,452,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,239,0.1255,0,PRICE_HESITATION,0.9997365,STOP,0.0,0.9997,Stopped by rule: LOW_RECOVERABILITY,0.22612419740650058
CHK_000048,2026-01-04 01:52:00,10747.0,CARD,DESKTOP,372,199,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,154,0.2208,0,PAYMENT_FAILURE,0.99970907,STOP,0.0,0.9997,Stopped by rule: COOLDOWN,0.4566861934564856
CHK_000049,2026-01-04 13:26:00,2146.0,CARD,MOBILE,542,258,0,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,107.0,119,0.7163,1,OTP_FRICTION,0.9997979,NUDGE,1130.98,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.573 | time=119min | amount=₹2146 | ERV=₹1131,0.5728445070902395
CHK_000050,2026-01-05 07:49:00,625.0,UPI,MOBILE,656,164,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,12.0,34,0.639,1,PAYMENT_FAILURE,0.99960786,PAYMENT_METHOD_SWITCH,340.23,0.9996,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.478 | time=34min | amount=₹625 | ERV=₹340,0.47751658602137814
CHK_000051,2026-01-11 22:08:00,7238.0,WALLET,MOBILE,673,180,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,2901,0.357,0,DISTRACTION_TIMEOUT,0.9994867,STOP,0.0,0.9995,Stopped by rule: MAX_TOUCHES,0.22215989236550354
CHK_000052,2026-01-08 08:29:00,4235.0,UPI,DESKTOP,316,266,0,OTP,Poor,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,1,8.0,828,0.2103,1,OTP_FRICTION,0.9997321,NUDGE,1756.8,0.9997,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.451 | time=828min | amount=₹4235 | ERV=₹1757,0.4508998227122225
CHK_000053,2026-01-16 12:30:00,617.0,CARD,MOBILE,623,454,2,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,118,0.5018,0,PAYMENT_FAILURE,0.99965525,STOP,0.0,0.9997,Stopped by rule: MAX_TOUCHES,0.4626683050500347
CHK_000054,2026-01-28 02:51:00,2548.0,WALLET,MOBILE,269,161,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,14.0,161,0.6228,1,OTP_FRICTION,0.9997552,STOP,0.0,0.9998,Stopped by rule: MAX_TOUCHES,0.5622876668251491
CHK_000055,2026-01-12 13:24:00,2719.0,UPI,MOBILE,192,187,2,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,38,0.5846,0,OTP_FRICTION,0.99970454,RETRY_LINK,1822.69,0.9997,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.595 | time=38min | amount=₹2719 | ERV=₹1823,0.5948133429155703
CHK_000056,2026-01-22 13:17:00,735.0,CARD,DESKTOP,453,575,0,PAYMENT,Average,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,0,,229,0.2093,0,DISTRACTION_TIMEOUT,0.9998047,STOP,0.0,0.9998,Stopped by rule: MAX_TOUCHES,0.3941161898654306
CHK_000057,2026-01-17 04:45:00,5320.0,CARD,DESKTOP,344,24,0,OTP,Good,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,296,0.5854,0,OTP_FRICTION,0.9997551,NUDGE,2602.98,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.532 | time=296min | amount=₹5320 | ERV=₹2603,0.5318284708575282
CHK_000058,2026-01-06 10:04:00,6484.0,WALLET,DESKTOP,142,82,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,3411,0.312,0,PAYMENT_FAILURE,0.9997851,STOP,0.0,0.9998,STOP chosen: 3411 min exceeds 2920 min window for PAYMENT_FAILURE,0.3033245186148323
CHK_000059,2026-01-19 21:22:00,1702.0,UPI,DESKTOP,733,467,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,37.0,157,0.6708,1,OTP_FRICTION,0.99976474,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.5632697102147508
CHK_000060,2026-01-27 11:41:00,3145.0,WALLET,MOBILE,641,716,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,324,0.163,0,DISTRACTION_TIMEOUT,0.9997875,STOP,0.0,0.9998,Stopped by rule: LOW_RECOVERABILITY,0.3771600981894855
CHK_000061,2026-01-15 07:29:00,594.0,WALLET,DESKTOP,471,301,0,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,200,0.3264,0,OTP_FRICTION,0.9997726,STOP,0.0,0.9998,Stopped by rule: OPT_OUT,0.5529621473040212
CHK_000062,2026-01-08 06:17:00,9783.0,UPI,DESKTOP,509,190,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,92,0.3979,0,PRICE_HESITATION,0.9997911,DISCOUNT_OFFER,2420.02,0.9998,DISCOUNT_OFFER chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.233 | time=92min | amount=₹9783 | ERV=₹2420,0.23281861348749472
CHK_000063,2026-01-15 06:10:00,13725.0,CARD,DESKTOP,160,426,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1385,0.0411,0,PRICE_HESITATION,0.99973565,STOP,0.0,0.9997,Stopped by rule: LOW_RECOVERABILITY,0.18486007733747814
CHK_000064,2026-01-02 21:08:00,7612.0,CARD,MOBILE,488,156,0,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,90,0.7419,0,OTP_FRICTION,0.99979895,NUDGE,4064.98,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.580 | time=90min | amount=₹7612 | ERV=₹4065,0.5804591862807071
CHK_000065,2026-01-06 22:57:00,9166.0,WALLET,MOBILE,597,366,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,67.0,180,0.5961,1,OTP_FRICTION,0.9998006,NUDGE,4702.83,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.558 | time=180min | amount=₹9166 | ERV=₹4703,0.5576884839586905
CHK_000066,2026-01-04 07:17:00,10895.0,CARD,DESKTOP,588,68,0,PAYMENT,Good,FAILED,GATEWAY_ERROR,2,0,PAYMENT_FAILURE,0,,4049,0.2369,0,PAYMENT_FAILURE,0.9995764,STOP,0.0,0.9996,STOP chosen: 4049 min exceeds 2920 min window for PAYMENT_FAILURE,0.3006228155023036
CHK_000067,2026-01-02 05:19:00,11181.0,UPI,MOBILE,514,230,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1403,0.1378,0,PRICE_HESITATION,0.9998172,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.1843430188510468
CHK_000068,2026-01-19 13:37:00,6297.0,WALLET,DESKTOP,383,432,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,415,0.3468,0,PAYMENT_FAILURE,0.9995994,PAYMENT_METHOD_SWITCH,3010.24,0.9996,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.419 | time=415min | amount=₹6297 | ERV=₹3010,0.4193358037397734
CHK_000069,2026-01-14 18:46:00,13271.0,UPI,MOBILE,612,462,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,1316.0,1367,0.1772,1,PRICE_HESITATION,0.99978167,STOP,0.0,0.9998,Stopped by rule: LOW_RECOVERABILITY,0.1853806377744796
CHK_000070,2026-01-14 03:22:00,5047.0,WALLET,MOBILE,619,364,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,22.0,36,0.6625,1,DISTRACTION_TIMEOUT,0.9997063,STOP,0.0,0.9997,Stopped by rule: MAX_TOUCHES,0.43404524654862797
CHK_000071,2026-01-07 01:05:00,8852.0,CARD,DESKTOP,822,138,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,213.0,355,0.2594,1,PRICE_HESITATION,0.9998178,DISCOUNT_OFFER,2079.46,0.9998,DISCOUNT_OFFER chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.221 | time=355min | amount=₹8852 | ERV=₹2079,0.22109595202285143
CHK_000072,2026-01-20 19:29:00,3073.0,UPI,DESKTOP,700,59,1,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,113.0,154,0.5394,1,OTP_FRICTION,0.9997609,RETRY_LINK,1953.32,0.9998,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.564 | time=154min | amount=₹3073 | ERV=₹1953,0.5640094252149572
CHK_000073,2026-01-07 05:56:00,7481.0,CARD,DESKTOP,325,147,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,57.0,76,0.6151,1,OTP_FRICTION,0.99977714,NUDGE,4021.0,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.584 | time=76min | amount=₹7481 | ERV=₹4021,0.5842337566451163
CHK_000074,2026-01-07 00:06:00,10400.0,CARD,DESKTOP,520,429,0,PAYMENT,Poor,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,181,0.3597,0,PAYMENT_FAILURE,0.9995908,PAYMENT_METHOD_SWITCH,5362.97,0.9996,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.452 | time=181min | amount=₹10400 | ERV=₹5363,0.4523424015690168
CHK_000075,2026-01-10 02:01:00,10340.0,CARD,DESKTOP,595,132,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1846,0.0928,0,PRICE_HESITATION,0.9997911,STOP,0.0,0.9998,Stopped by rule: COOLDOWN,0.1726579838712841
