checkout_id,timestamp,amount,payment_method,device_type,session_duration_seconds,inactivity_seconds,retry_count,checkout_step_reached,network_quality,payment_status,failure_reason_code,otp_attempts,upi_collect_expired,dropoff_cause,recovered,time_to_recovery_minutes,minutes_since_dropoff,recovery_probability_ground_truth,was_recovered,touch_count,minutes_since_last_intervention,consecutive_ignored_interventions,opt_out_flag,recoverability_score,decision,stop_reason
CHK_000068,2026-01-19 13:37:00,6297.0,WALLET,DESKTOP,383,432,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,415,0.3468,0,2,594,1,False,0.3468,CONTINUE,NONE
CHK_000069,2026-01-14 18:46:00,13271.0,UPI,MOBILE,612,462,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,1316.0,1367,0.1772,1,0,106,0,False,0.1772,STOP,LOW_RECOVERABILITY
CHK_000070,2026-01-14 03:22:00,5047.0,WALLET,MOBILE,619,364,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,22.0,36,0.6625,1,4,580,1,False,0.6625,STOP,MAX_TOUCHES
CHK_000071,2026-01-07 01:05:00,8852.0,CARD,DESKTOP,822,138,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,213.0,355,0.2594,1,2,608,0,False,0.2594,CONTINUE,NONE
CHK_000072,2026-01-20 19:29:00,3073.0,UPI,DESKTOP,700,59,1,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,113.0,154,0.5394,1,0,723,1,False,0.5394,CONTINUE,NONE
CHK_000073,2026-01-07 05:56:00,7481.0,CARD,DESKTOP,325,147,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,57.0,76,0.6151,1,0,285,0,False,0.6151,CONTINUE,NONE
CHK_000074,2026-01-07 00:06:00,10400.0,CARD,DESKTOP,520,429,0,PAYMENT,Poor,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,181,0.3597,0,2,748,1,False,0.3597,CONTINUE,NONE
CHK_000075,2026-01-10 02:01:00,10340.0,CARD,DESKTOP,595,132,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1846,0.0928,0,2,7,3,False,0.0928,STOP,COOLDOWN
CHK_000076,2026-01-02 05:22:00,7601.0,UPI,MOBILE,626,186,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,39.0,42,0.694,1,2,805,0,True,0.694,STOP,OPT_OUT
CHK_000077,2026-01-20 13:05:00,6203.0,WALLET,MOBILE,471,373,0,CART,Poor,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,372,0.2113,0,2,188,0,False,0.2113,STOP,COOLDOWN
CHK_000078,2026-01-08 21:04:00,6104.0,UPI,DESKTOP,553,483,2,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,3002,0.3624,0,0,80,0,False,0.3624,CONTINUE,NONE
CHK_000079,2026-01-27 03:21:00,5306.0,CARD,MOBILE,520,285,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,64.0,103,0.5019,1,0,107,0,False,0.5019,CONTINUE,NONE
CHK_000080,2026-01-10 07:29:00,3483.0,UPI,DESKTOP,362,490,0,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,210,0.4308,0,0,320,0,False,0.4308,CONTINUE,NONE
CHK_000081,2026-01-10 12:57:00,3741.0,WALLET,DESKTOP,665,613,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,837,0.3295,0,3,578,2,False,0.3295,STOP,MAX_TOUCHES
CHK_000082,2026-01-13 14:35:00,4861.0,WALLET,MOBILE,538,359,1,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,297.0,324,0.4689,1,1,685,3,False,0.4689,STOP,IGNORED_INTERVENTIONS
CHK_000083,2026-01-29 04:40:00,8673.0,CARD,MOBILE,518,11,1,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,1451,0.4981,0,0,345,0,False,0.4981,CONTINUE,NONE
CHK_000084,2026-01-12 01:34:00,9576.0,UPI,DESKTOP,362,385,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,219.0,261,0.4011,1,0,862,1,False,0.4011,CONTINUE,NONE
CHK_000085,2026-01-08 21:22:00,2413.0,WALLET,DESKTOP,692,689,2,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,689,0.2851,0,0,327,1,False,0.2851,CONTINUE,NONE
CHK_000086,2026-01-23 10:04:00,3218.0,CARD,DESKTOP,289,59,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,1,94.0,251,0.3524,1,0,554,1,False,0.3524,CONTINUE,NONE
CHK_000087,2026-01-30 01:53:00,8728.0,UPI,DESKTOP,435,195,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,2787,0.3465,0,2,698,0,False,0.3465,CONTINUE,NONE
CHK_000088,2026-01-24 16:00:00,4811.0,UPI,MOBILE,266,355,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,1,159.0,170,0.5374,1,1,301,0,False,0.5374,STOP,COOLDOWN
CHK_000089,2026-01-02 17:09:00,6650.0,CARD,MOBILE,252,137,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,949,0.3755,0,3,199,0,False,0.3755,STOP,MAX_TOUCHES
CHK_000090,2026-01-07 20:42:00,4064.0,WALLET,DESKTOP,659,363,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,319,0.4001,0,1,892,0,False,0.4001,CONTINUE,NONE
CHK_000091,2026-01-25 09:50:00,10776.0,UPI,DESKTOP,397,215,0,PAYMENT,Good,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,193,0.2483,0,0,418,2,False,0.2483,STOP,IGNORED_INTERVENTIONS
CHK_000092,2026-01-15 21:07:00,12699.0,WALLET,DESKTOP,306,153,0,CART,Good,ABANDONED,NONE,1,0,PRICE_HESITATION,1,213.0,226,0.1082,1,2,38,2,False,0.1082,STOP,COOLDOWN
CHK_000093,2026-01-17 10:10:00,2038.0,CARD,DESKTOP,238,94,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,88.0,337,0.2386,1,2,731,0,False,0.2386,CONTINUE,NONE
CHK_000094,2026-01-24 22:10:00,7626.0,UPI,MOBILE,177,34,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,208,0.2049,0,1,306,0,False,0.2049,STOP,COOLDOWN
CHK_000095,2026-01-15 23:23:00,1484.0,WALLET,MOBILE,428,27,2,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,1,13.0,316,0.5928,1,2,3,3,False,0.5928,STOP,COOLDOWN
CHK_000096,2026-01-27 18:45:00,7599.0,CARD,DESKTOP,620,316,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,95,0.53,0,1,632,1,False,0.53,CONTINUE,NONE
CHK_000097,2026-01-05 06:34:00,10920.0,UPI,DESKTOP,401,233,1,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,1,6.0,86,0.2578,1,1,847,2,False,0.2578,STOP,IGNORED_INTERVENTIONS
CHK_000098,2026-01-05 10:08:00,14236.0,CARD,DESKTOP,888,122,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,127.0,305,0.1371,1,0,76,0,False,0.1371,STOP,LOW_RECOVERABILITY
CHK_000099,2026-01-02 08:05:00,8917.0,CARD,DESKTOP,372,60,1,CART,Average,ABANDONED,NONE,1,0,PRICE_HESITATION,0,,251,0.2723,0,0,467,1,False,0.2723,CONTINUE,NONE
CHK_000100,2026-01-09 02:13:00,521.0,WALLET,DESKTOP,529,402,1,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,25,0.5359,0,0,178,1,False,0.5359,CONTINUE,NONE
CHK_000101,2026-01-19 13:45:00,4138.0,WALLET,DESKTOP,535,192,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,39.0,211,0.5808,1,0,644,2,False,0.5808,STOP,IGNORED_INTERVENTIONS
CHK_000102,2026-01-28 02:04:00,6578.0,CARD,MOBILE,326,372,2,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,1,24.0,220,0.5024,1,1,822,0,False,0.5024,CONTINUE,NONE
CHK_000103,2026-01-24 10:03:00,2212.0,WALLET,MOBILE,539,449,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,103.0,131,0.4595,1,0,740,0,False,0.4595,CONTINUE,NONE
CHK_000104,2026-01-14 20:55:00,7395.0,CARD,MOBILE,597,798,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,111,0.3076,0,1,275,0,False,0.3076,STOP,COOLDOWN
CHK_000105,2026-01-25 08:06:00,5155.0,UPI,MOBILE,429,364,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,1,634.0,661,0.3147,1,3,151,2,False,0.3147,STOP,MAX_TOUCHES
CHK_000106,2026-01-12 13:33:00,6224.0,CARD,DESKTOP,480,456,1,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,169.0,175,0.3648,1,0,163,3,False,0.3648,STOP,IGNORED_INTERVENTIONS
CHK_000107,2026-01-19 16:48:00,11847.0,CARD,DESKTOP,855,226,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,20,0.313,0,0,289,3,False,0.313,STOP,IGNORED_INTERVENTIONS
CHK_000108,2026-01-08 10:44:00,7178.0,WALLET,DESKTOP,460,295,2,CART,Poor,ABANDONED,NONE,2,0,PRICE_HESITATION,0,,185,0.3204,0,2,377,3,False,0.3204,STOP,IGNORED_INTERVENTIONS
CHK_000109,2026-01-05 14:38:00,3749.0,UPI,DESKTOP,607,313,0,OTP,Average,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,0,,8,0.5875,0,0,620,0,False,0.5875,CONTINUE,NONE
CHK_000110,2026-01-27 09:26:00,11166.0,UPI,DESKTOP,533,133,0,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,0,,1161,0.2983,0,0,637,0,True,0.2983,STOP,OPT_OUT
CHK_000111,2026-01-10 10:38:00,3624.0,UPI,MOBILE,423,268,2,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,945,0.3948,0,0,751,0,False,0.3948,CONTINUE,NONE
CHK_000112,2026-01-25 23:01:00,2167.0,UPI,MOBILE,138,473,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,1,0,PAYMENT_FAILURE,1,69.0,89,0.7098,1,0,309,0,False,0.7098,CONTINUE,NONE
