checkout_id,action,execution_status,payload,simulated_outcome
CHK_000086,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000086', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000087,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},PENDING
CHK_000088,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000089,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000090,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000090', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000091,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000092,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000093,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000093', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000094,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000095,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000096,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000096', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000097,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000098,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000099,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 891.7}",PENDING
CHK_000100,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},PENDING
CHK_000101,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000102,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},RECOVERED
CHK_000103,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000103', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000104,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000105,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000106,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000107,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000108,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000109,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000109', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000110,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000111,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000111', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000112,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000113,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000114,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000115,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000115', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000116,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000117,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000118,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000118', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000119,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000120,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000121,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000122,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000123,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},RECOVERED
CHK_000124,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000124', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000125,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000126,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000127,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 834200, 'currency': 'INR', 'reference_id': 'CHK_000127', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000128,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000129,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000129', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000130,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 707.8}",PENDING
CHK_000131,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000132,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 814.0}",PENDING
CHK_000133,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000134,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000134', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000135,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000136,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 1369.8}",PENDING
CHK_000137,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000138,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000139,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 628400, 'currency': 'INR', 'reference_id': 'CHK_000139', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000140,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000141,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000142,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000143,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000144,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000144', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000145,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},PENDING
CHK_000146,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000147,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000147', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000148,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000149,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},PENDING
CHK_000150,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 333900, 'currency': 'INR', 'reference_id': 'CHK_000150', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000151,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000152,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000152', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000153,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000153', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000154,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 987.5}",RECOVERED
CHK_000155,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000156,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000157,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000158,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000159,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000160,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000160', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000161,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000162,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000163,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000164,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000165,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000166,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000167,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000168,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 203100, 'currency': 'INR', 'reference_id': 'CHK_000168', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000169,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 54000, 'currency': 'INR', 'reference_id': 'CHK_000169', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000170,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000171,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000172,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000173,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000173', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000174,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000175,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000175', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000176,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000177,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000178,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},RECOVERED
CHK_000179,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000180,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000181,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000182,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},RECOVERED
CHK_000183,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000184,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000185,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000186,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000187,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000188,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000189,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000190,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000190', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000191,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 326700, 'currency': 'INR', 'reference_id': 'CHK_000191', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000192,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000193,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000194,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},RECOVERED
CHK_000195,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000196,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000196', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000197,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000198,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000199,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000200,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000201,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000202,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000203,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000204,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000205,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000206,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000206', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000207,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000208,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000209,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000209', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000210,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 724.1}",PENDING
CHK_000211,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000212,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 904800, 'currency': 'INR', 'reference_id': 'CHK_000212', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000213,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000214,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000215,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000215', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000216,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000217,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000217', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000218,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 163200, 'currency': 'INR', 'reference_id': 'CHK_000218', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000219,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000220,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000221,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000222,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000223,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000224,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000224', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000225,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},RECOVERED
CHK_000226,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 367100, 'currency': 'INR', 'reference_id': 'CHK_000226', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000227,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000228,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 935000, 'currency': 'INR', 'reference_id': 'CHK_000228', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000229,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000230,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000231,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 881900, 'currency': 'INR', 'reference_id': 'CHK_000231', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000232,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000232', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000233,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},PENDING
CHK_000234,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000235,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},RECOVERED
CHK_000236,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},RECOVERED
CHK_000237,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 135900, 'currency': 'INR', 'reference_id': 'CHK_000237', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000238,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000239,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000239', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000240,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000241,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000242,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000243,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000244,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 821.9}",PENDING
CHK_000245,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000246,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000247,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000247', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000248,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000249,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000250,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000251,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000252,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000252', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000253,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000254,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 1366.3}",RECOVERED
CHK_000255,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000256,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000257,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000258,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000259,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000260,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000261,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000262,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000263,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000264,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000265,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000266,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000267,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000267', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000268,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000269,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000270,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000271,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000272,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 1306.9}",PENDING
CHK_000273,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000274,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000275,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000275', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000276,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000277,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000277', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000278,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000279,STOP,SKIPPED,None,NOT_CONTACTED
